,weather,base,dt,timezone,id,name,cod,Lon,Lat,main.temp,main.feels_like,main.temp_min,Max Temp,main.pressure,Humidity,Wind Speed,wind.deg,wind.gust,rain.1h,Cloud Cover,sys.type,sys.id,Country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,visibility,snow.1h
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588986175.0,-10800.0,3445459.0,Várzea da Palma,200,-44.73,-17.6,64.31,66.6,64.31,64.31,1021.0,90.0,2.64,77.0,,,59.0,,,BR,1588929260.0,1588970187.0,1021.0,961.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986175.0,28800.0,7696234.0,Nanhai,200,111.78,30.13,68.0,72.54,68.0,68.0,1003.0,91.0,1.54,47.0,,,96.0,3.0,2000150.0,CN,1588974199.0,1589022921.0,,,,,
0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,1588986175.0,-14400.0,4845585.0,Westport,200,-73.36,41.14,43.38,38.8,42.01,44.6,1004.0,93.0,4.7,90.0,,1.83,90.0,1.0,3409.0,US,1588930924.0,1588982265.0,,,,9656.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986175.0,-10800.0,3443061.0,Chui,200,-53.46,-33.7,51.26,47.26,51.26,51.26,1021.0,76.0,4.61,331.0,,,0.0,,,UY,1588932832.0,1588970806.0,1021.0,1020.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986176.0,7200.0,3361934.0,Saldanha,200,17.94,-33.01,57.2,54.55,57.2,57.2,1018.0,76.0,4.7,170.0,,,0.0,1.0,1943.0,ZA,1589002058.0,1589040104.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986176.0,-10800.0,3430443.0,Necochea,200,-58.74,-38.55,53.01,48.38,53.01,53.01,1012.0,87.0,8.01,,14.0,,100.0,3.0,2019717.0,AR,1588934651.0,1588971521.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986176.0,10800.0,484674.0,Tamala,200,43.25,52.54,47.48,43.77,47.48,47.48,1009.0,94.0,4.85,240.0,,,100.0,,,RU,1588987216.0,1589042798.0,1009.0,984.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986177.0,-25200.0,5367788.0,Lompoc,200,-120.46,34.64,73.33,72.18,68.0,77.0,1012.0,60.0,6.93,280.0,,,1.0,1.0,6155.0,US,1588943055.0,1588992742.0,,,,16093.0,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,1588986177.0,3600.0,2396853.0,Omboué,200,9.26,-1.57,79.05,88.45,79.05,79.05,1010.0,89.0,2.26,40.0,,0.21,100.0,,,GA,1589001474.0,1589044855.0,1010.0,1010.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986177.0,-14400.0,3899539.0,Antofagasta,200,-70.4,-23.65,60.8,57.27,60.8,60.8,1014.0,82.0,9.17,170.0,,,90.0,1.0,8488.0,CL,1588935932.0,1588975836.0,,,,10000.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986178.0,28800.0,1529484.0,Kumul,200,93.45,42.8,67.55,59.05,67.55,67.55,1012.0,20.0,7.14,130.0,,,0.0,,,CN,1588977009.0,1589028909.0,1012.0,930.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588986178.0,36000.0,2155562.0,Nelson Bay,200,152.15,-32.72,70.7,67.64,70.0,71.6,1014.0,53.0,6.93,330.0,,,75.0,1.0,9605.0,AU,1588969801.0,1589007942.0,,,,10000.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986178.0,-18000.0,5954718.0,Flin Flon,200,-101.86,54.77,43.16,34.7,43.16,43.16,1027.0,61.0,8.34,82.0,,,100.0,,,CA,1588935152.0,1588991717.0,1027.0,990.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986179.0,-14400.0,4157657.0,Gulf Gate Estates,200,-82.51,27.25,74.59,74.8,73.0,77.0,1016.0,69.0,8.05,250.0,,,1.0,1.0,5916.0,US,1588934740.0,1588982841.0,,,,16093.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986179.0,7200.0,1006984.0,East London,200,27.91,-33.02,69.35,70.63,69.35,69.35,1024.0,72.0,3.49,284.0,,,91.0,,,ZA,1588999665.0,1589037712.0,1024.0,1019.0,,,
0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",stations,1588986179.0,0.0,3372472.0,Vila Franca do Campo,200,-25.43,37.72,59.0,49.48,59.0,59.0,1018.0,93.0,20.8,290.0,,,75.0,1.0,6899.0,PT,1589006229.0,1589056750.0,,,,6000.0,
0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,1588986179.0,19800.0,1252783.0,Yārāda,200,83.27,17.65,82.4,90.99,82.4,82.4,1009.0,88.0,6.93,270.0,,,75.0,1.0,9255.0,IN,1588982207.0,1589028598.0,,,,4000.0,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986180.0,-34200.0,4020109.0,Atuona,200,-139.03,-9.8,81.63,82.11,81.63,81.63,1011.0,74.0,15.03,105.0,,,100.0,,,PF,1588951284.0,1588993426.0,1011.0,1008.0,,,
