,name,Lon,Lat,Max Temp,Wind Speed,Humidity,Cloud Cover,Country
0,Linxi,118.43,39.7,61.32,5.26,62.0,54.0,CN
0,Mahon,4.27,39.89,64.4,8.05,93.0,53.0,ES
0,Mahon,4.27,39.89,64.4,8.05,93.0,53.0,ES
0,Lata,-8.33,40.16,62.01,2.37,81.0,99.0,PT
0,Lancaster,-76.25,40.25,46.99,6.93,81.0,90.0,US
0,Beatrice,-96.75,40.27,55.4,9.17,35.0,1.0,US
0,Yumen,97.2,40.28,57.6,2.35,26.0,90.0,CN
0,Yangi Marg`ilon,71.72,40.43,66.2,9.17,52.0,100.0,UZ
0,Fortuna,-124.16,40.6,59.0,13.87,93.0,1.0,US
0,Sorrento,14.37,40.63,62.01,2.24,71.0,100.0,IT
0,Freeport,-73.58,40.66,46.4,4.7,70.0,90.0,US
0,Salou,1.14,41.08,63.0,3.36,100.0,78.0,ES
0,Westport,-73.36,41.14,44.6,4.7,93.0,90.0,US
0,Sussex,-74.67,41.18,43.0,3.36,87.0,90.0,US
0,Clyde,-82.98,41.3,39.0,4.0,67.0,82.0,US
0,Bethel,-73.41,41.37,43.0,3.36,87.0,90.0,US
0,Cleveland,-81.7,41.5,39.2,20.8,44.0,40.0,US
0,Arroyo de la Encomienda,-4.8,41.61,55.99,2.24,93.0,0.0,ES
0,Gurlan,60.39,41.84,62.6,13.87,82.0,75.0,UZ
0,Toktogul,72.94,41.87,59.36,1.25,64.0,100.0,KG
0,Vieste,16.18,41.88,59.0,2.24,87.0,40.0,IT
0,Jamestown,-79.24,42.1,33.01,11.41,80.0,90.0,US
0,Bracciano,12.18,42.1,55.0,2.15,48.0,0.0,IT
0,Palmer,-72.33,42.16,44.01,5.82,93.0,90.0,US
0,Broome,-75.83,42.25,32.0,12.75,92.0,90.0,US
0,Albany,-73.97,42.6,39.0,4.0,72.0,100.0,US
0,Ingham,-84.38,42.6,35.6,10.29,31.0,40.0,US
0,Jerome,-114.52,42.72,71.6,13.87,17.0,1.0,US
0,Kumul,93.45,42.8,67.55,7.14,20.0,0.0,CN
0,North Bend,-124.22,43.41,72.0,10.29,59.0,1.0,US
0,Santander,-3.8,43.46,61.0,1.12,100.0,100.0,ES
